Objectid ,Straat ,Type_en_merk ,Aantal ,geo_shape,geo_point_2d,neighbourhood,avg_income
7375,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.46732123348369, 51.43843724828966], ""type"": ""Point""}","51.43843724828966, 5.46732123348369","Eliasterrein, Vonderkwartier","47,9"
7378,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467315703829868, 51.43836780561404], ""type"": ""Point""}","51.43836780561404, 5.467315703829868","Eliasterrein, Vonderkwartier","47,9"
7379,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467275515036869, 51.43863543503703], ""type"": ""Point""}","51.43863543503703, 5.467275515036869","Eliasterrein, Vonderkwartier","47,9"
7381,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467272727940463, 51.43858801272012], ""type"": ""Point""}","51.43858801272012, 5.467272727940463","Eliasterrein, Vonderkwartier","47,9"
7385,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467264462275823, 51.43850841472557], ""type"": ""Point""}","51.43850841472557, 5.467264462275823","Eliasterrein, Vonderkwartier","47,9"
7386,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467261711352637, 51.43848979208916], ""type"": ""Point""}","51.43848979208916, 5.467261711352637","Eliasterrein, Vonderkwartier","47,9"
7390,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467253421942254, 51.438396639191794], ""type"": ""Point""}","51.438396639191794, 5.467253421942254","Eliasterrein, Vonderkwartier","47,9"
7602,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.451007540370737, 51.44694111536747], ""type"": ""Point""}","51.44694111536747, 5.451007540370737",Schoot,"37,2"
7603,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.45108375443806, 51.44696165937658], ""type"": ""Point""}","51.44696165937658, 5.45108375443806",Schoot,"37,2"
7610,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.451264925265437, 51.44694226016228], ""type"": ""Point""}","51.44694226016228, 5.451264925265437",Schoot,"37,2"
7611,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.451337027917833, 51.446966666902675], ""type"": ""Point""}","51.446966666902675, 5.451337027917833",Schoot,"37,2"
7616,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.451784131315162, 51.447167136429], ""type"": ""Point""}","51.447167136429, 5.451784131315162",Schoot,"37,2"
5854,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.47339331007184, 51.468956168486386], ""type"": ""Point""}","51.468956168486386, 5.47339331007184",Winkelcentrum,"38,7"
5855,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473421791543503, 51.46895614739968], ""type"": ""Point""}","51.46895614739968, 5.473421791543503",Winkelcentrum,"38,7"
5858,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473522586885292, 51.468953340167715], ""type"": ""Point""}","51.468953340167715, 5.473522586885292",Winkelcentrum,"38,7"
5859,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473553265111916, 51.46895057588107], ""type"": ""Point""}","51.46895057588107, 5.473553265111916",Winkelcentrum,"38,7"
5860,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473579559019033, 51.46895055637811], ""type"": ""Point""}","51.46895055637811, 5.473579559019033",Winkelcentrum,"38,7"
5861,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473599290243235, 51.468950541739055], ""type"": ""Point""}","51.468950541739055, 5.473599290243235",Winkelcentrum,"38,7"
5864,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473695693437173, 51.46894636235255], ""type"": ""Point""}","51.46894636235255, 5.473695693437173",Winkelcentrum,"38,7"
5865,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473730766368476, 51.468946336293854], ""type"": ""Point""}","51.468946336293854, 5.473730766368476",Winkelcentrum,"38,7"
6126,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.4709755958816775, 51.433344433916176], ""type"": ""Point""}","51.433344433916176, 5.4709755958816775",Oude Spoorbaan,"37,8"
6127,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471002604434356, 51.43332972697496], ""type"": ""Point""}","51.43332972697496, 5.471002604434356",Oude Spoorbaan,"37,8"
6128,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471030776443262, 51.433314282118026], ""type"": ""Point""}","51.433314282118026, 5.471030776443262",Oude Spoorbaan,"37,8"
6130,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471081250416795, 51.43328192247195], ""type"": ""Point""}","51.43328192247195, 5.471081250416795",Oude Spoorbaan,"37,8"
6131,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471105901822707, 51.43326794528834], ""type"": ""Point""}","51.43326794528834, 5.471105901822707",Oude Spoorbaan,"37,8"
6132,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471189528087677, 51.43336338065435], ""type"": ""Point""}","51.43336338065435, 5.471189528087677",Oude Spoorbaan,"37,8"
6133,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471157818488521, 51.433378837090444], ""type"": ""Point""}","51.433378837090444, 5.471157818488521",Oude Spoorbaan,"37,8"
6134,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471133172428807, 51.43339574458921], ""type"": ""Point""}","51.43339574458921, 5.471133172428807",Oude Spoorbaan,"37,8"
6137,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471221393738682, 51.43344048947693], ""type"": ""Point""}","51.43344048947693, 5.471221393738682",Oude Spoorbaan,"37,8"
6138,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471190849773982, 51.43344859234384], ""type"": ""Point""}","51.43344859234384, 5.471190849773982",Oude Spoorbaan,"37,8"
6139,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471160322891655, 51.43345816933319], ""type"": ""Point""}","51.43345816933319, 5.471160322891655",Oude Spoorbaan,"37,8"
6406,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.470004225460571, 51.46432936394622], ""type"": ""Point""}","51.46432936394622, 5.470004225460571",Rapenland,"36,0"
6689,Wilhelminaplein,Parkeerplaats Afgekruist,1.0,"{""coordinates"": [5.4713438738447415, 51.43781205618678], ""type"": ""Point""}","51.43781205618678, 5.4713438738447415",Bergen,"45,8"
